id;subject;question_text;option_a;option_b;option_c;option_d;correct_answer;feedback;level_label;concept_id;concept_confidence
08970e91-a96b-42a8-bd56-731b88107a00;B5 South Carolina Real Estate;A broker-in-charge may pay an unlicensed person;a percentage of the commission on a real estate transaction;a referral fee, as long as that person is a party in the real estate transaction;a fee for showing homes to buyers;a fee for negotiating an offer for a licensee who is on vacation;B;A broker-in-charge may pay an unlicensed person a referral fee, as long as that person is a party in the real estate transaction;hard;B5.sc_license_categories_ce;0.97
3c2b989d-f87c-474f-83be-92951094daad;B5 South Carolina Real Estate;"Which of the following actions would be classified as ""first substantive contact?""";When a customer asks what houses are for sale in a particular school district;When a customer begins to talk about financial qualifications;When a customer comes to the real estate brokerage;When a customer calls to get the asking price for a property;B;Substantive contact means contact in which a discussion between the consumer and the associated licensee moves from casual introductory talk to a meaningful conversation regarding financial qualifications of the parties;medium;B5.sc_license_categories_ce;0.97
1ddef460-d083-4f43-9993-2e435cc69cc7;B5 South Carolina Real Estate;Under what conditions must a licensee disclose the nature of a stigmatized property?;When a licensee is asked directly regarding a stigma;When a death occurred on the property;When there are rumors that the property is haunted;When the former owner was HIV positive;A;A buyer can bring action against an owner or agent of an owner who makes intentional misrepresentations in response to a direct inquiry regarding stigmas associated with real estate;medium;B5.sc_property_disclosure;0.97
9f7409e9-dc95-447c-beda-0d5b6c1b4892;B5 South Carolina Real Estate;What, if any, action must a licensee take if his client's offer is rejected by a seller without a counter offer being made?;The licensee must have the seller sign a commission-promulgated offer rejection form which affirms presentation of the offer;The licensee must have the seller and the buyer sign a commission-promulgated offer rejection form which affirms presentation of the offer;The licensee must sign a commission-promulgated offer rejection form which affirms presentation of the offer;The licensee is required to inform his client within 24 hours of receipt of the rejection notice;C;If a client’s offer is rejected by a seller without a counter offer being made, the licensee must sign a commission-promulgated offer rejection form which affirms presentation of the offer;medium;B5.sc_license_categories_ce;0.97
53497e71-5c5e-46ee-8c76-6a4f3e5419fd;B5 South Carolina Real Estate;Which of the following account titles would violate South Carolina trust fund laws?;Sunshine Real Estate Trust Account;Davis Real Estate Office Account;Sunshine Real Estate Escrow Account;Davis Real Estate Trust Account;B;The account must be designated and titled to include the word “trust” or “escrow” in the name of the respective broker-in-charge’s or property manager-in-charge’s licensed real estate firm;medium;B5.broker_in_charge;0.97
9dcd4c14-ad02-4dd7-bc36-25772f27c878;B5 South Carolina Real Estate;How must advance rental property deposits be treated?;As Accounts Receivable;As Accounts Payable;As operating income;As trust fund monies;D;Advance rental property deposits must be treated as trust fund monies;medium;B5.commingling_trust_accounts;0.97
2288a530-80d9-4592-972a-9c14fd8d9193;B5 South Carolina Real Estate;Which of the following disciplinary actions is within the purview of the Commission in a disciplinary case?;Arresting a licensee for serious statute violations;Imposing a fine of not less than five hundred ($300) or more than three thousand ($3,000) dollars for each violation;Imposing a fine of not more than ten thousand dollars ($10,000) for each violation;Serving a disciplinary decision to the charged licensee within 30 days from the effective date of a ruling;C;The Commission may impose disciplinary action as a public reprimand, a fine of not less than $500 or more than $5,000, permanently revoke the license, or place a licensee on probation for a definite or indefinite time;medium;B5.sc_license_categories_ce;0.97
9a884af2-d5ea-497d-a76f-9a90128d3e82;B5 South Carolina Real Estate;Which of the following disciplinary actions is available to the Commission for law violations?;Impose a jail sentence;Issue a public reprimand;Arrest a licensee;Levy a fine up to $25,000 for each violation;B;The Commission may issue a public reprimand for law violations, impose a fine of not less than $500 or more than $5,000, place a licensee on probation, restrict or suspend the individual’s license, or permanently revoke the license;medium;B5.sc_license_categories_ce;0.97
e80e9cfe-2537-41f4-8031-f81b720698c1;B5 South Carolina Real Estate;Disciplinary investigators must have at least how many hours of real estate training?;50 hours;80 hours;100 hours;120 hours;C;Disciplinary investigators must have at least 100 hours of real estate training;easy;B5.general;0.45
da440bcd-26b8-4b90-82a5-fabfbbb76239;B5 South Carolina Real Estate;In what section of an Office Policy Manual would you find information regarding office hours, holidays, floor time, sales meetings, dress code, personal safety, workplace privacy, and policies regarding smoking and substance abuse?;Office Procedures;Employee Classifications;Business Procedures;Performance Reviews;A;In the Office Procedures section of the Office Policy Manual you can find information regarding office hours, holidays, floor time, sales meetings, dress code, personal safety, workplace privacy, and policies regarding smoking and substance abuse;medium;B5.broker_in_charge;0.99
1328c553-85fb-4d6e-a144-d2802fcd09ad;B5 South Carolina Real Estate;Which of the following is one way trust funds disputes are settled?;Involuntary mediation;Voluntary mediation;Peer review;Commission ruling;B;Trust fund disputes can be settled with voluntary mediation;medium;B5.general;0.45
ae39a97b-5b12-4792-9c18-33cec2a79d5e;B5 South Carolina Real Estate;A licensee is legally allowed to distribute escrow funds under which of the following circumstances?;At the request of a lien holder;To pay for repair damage prior to closing;To pay for the recording of a new deed;Upon the closing of a transaction;D;A licensee is legally allowed to distribute escrow funds upon the closing of a transaction;medium;B5.sc_license_categories_ce;0.97
0fe6b657-4a37-4ed4-86da-8d87633761bd;B5 South Carolina Real Estate;A trust account must be a;demand deposit account located in an insured financial institution authorized to conduct business in South Carolina;demand deposit account located in a state-chartered financial institution;money market account located in a federally- chartered financial institution;savings account located in an insured financial institution authorized to conduct business in South Carolina;A;A trust fund account must be a demand deposit account located in an insured financial institution authorized to conduct business in South Carolina;medium;B5.commingling_trust_accounts;0.98
05684083-b43e-40ef-9ae9-712d7c7cbaef;B5 South Carolina Real Estate;In what period of time must a brokerage inform the Commission of an office telephone number change?;Within five (5) days;Within ten (10) days;Within fifteen (15) business days;Within five (5) business days;B;If there is a telephone number change, a brokerage must inform the Commission within ten days;medium;B5.broker_in_charge;0.97
c41b4362-0bb4-4d34-af2b-667c6317b239;B5 South Carolina Real Estate;How many branch offices are allowed under state statutes?;2;3;4;Unlimited;D;The state statutes allow an unlimited number of branch offices;easy;B5.broker_in_charge;0.98
df721bc1-55a0-45e9-977c-d72448c1ff00;B5 South Carolina Real Estate;Which of the following team names would violate state statutes?;Team Walker Realty Pros;Team Walker Pros;Kelli Benson Team;Benson Team Professionals;A;Team names may not include the terms “realty”, “real estate”, “realtors”, or similar terms suggesting a brokerage;medium;B5.general;0.45
0aa2a28e-95f9-407b-a8df-b6a6db527531;B5 South Carolina Real Estate;Which of the following team names would violate state statutes?;Jensen Team Pros;Benson Team Professionals;Becker Real Estate Team;Jim Walker Team;C;"No team may imply that the team is a separate entity from the employing brokerage firm. Team names may not include the terms ""realty"", ""real estate"", ""realtors"", or similar terms suggesting a brokerage";medium;B5.general;0.45
80c06d6d-4c46-483e-b253-b70fb3462a46;B5 South Carolina Real Estate;When may a resident licensee pay a part of the commission on a cooperative basis to a person of another state?;If that person is not licensed in South Carolina;If that brokerage license does not conduct a real estate brokerage service in South Carolina for which compensation is paid;Never;If that employee does not hold a valid real estate license;B;A resident licensee may pay part of the commission on a cooperative basis to a person of another state if that brokerage license does not conduct a real estate brokerage service in South Carolina for which compensation is paid;hard;B5.sc_license_categories_ce;0.98
9f3dffe2-1224-4a71-bd22-c1e1034b3962;B5 South Carolina Real Estate;What, if anything, must a licensee do if wishing to purchase real estate listed with the licensee's own brokerage firm?;A licensee must complete form 82-A and file the form with other transaction papers;A licensee has no requirements in this situation;A licensee must inform all parties of the license status at the time of closing;The licensee must make the status as a licensee clearly known in writing to all parties involved;D;If a licensee wishes to purchase real estate listed with the affiliated brokerage firm, the broker-in-charge must ensure that the licensee first makes the status as a licensee clearly known in writing to all parties involved;medium;B5.sc_license_categories_ce;0.97
65086b6e-6229-41e4-8ace-5be3e90a0d7b;B5 South Carolina Real Estate;Amelia, a licensee, creates a property description using artificial intelligence.  The program creates a listing that violates the South Carolina Fair Housing Law. Which of the following statements is true?;The developers of the technology may be held liable by the South Carolina Human Affairs Commission;The seller may be fined;The South Carolina Real Estate Commission may lessen Amelia’s fine because the violation was unintentional;Amelia alone is responsible for the content of the listing description;D;Licensees are solely responsible for work produced by AI, machine learning, or similar programs. Any violations committed through the use of these technologies will be treated as if they were committed directly by the licensee.;hard;B5.sc_license_categories_ce;0.97
008f221a-5c3a-4173-bb6c-8097084bd294;B5 South Carolina Real Estate;License law requires a branch office to be accessible by the public, investigators, and inspectors;during the hours of 8 AM and 5 PM;whenever the broker-in-charge is on the premises;during reasonable business hours;at least one weekend day;C;License law requires a branch office to be accessible by the public, investigators, and inspectors during reasonable business hours;medium;B5.broker_in_charge;0.98
e7ca45d1-5abf-4669-a9b7-6f2ed6273771;B5 South Carolina Real Estate;Licensee Bruce was asked to take over the broker-in-charge duties at his office when broker-in-charge Ruth passed away unexpectedly. Bruce can remain in this position for how long?;Two months;Up to six (6) months;30 days;Up to one year;B;In the event a broker-in-charge dies, the department may permit an associated licensee to act as broker-in-charge or property manager-in-charge for up to six (6) months;medium;B5.broker_in_charge;0.97
eacae3a6-fcec-4739-aab1-674385b1f0ac;B5 South Carolina Real Estate;Which of the following statements is FALSE?;A broker-in-charge can never be liable for a law violation committed by an associated licensee;An associated licensee may receive compensation for real estate activities only from the employing broker-in-charge;A broker-in-charge may be liable to some degree for law violations committed by an associated licensee;Trust funds received in connection with a real estate transaction may be deposited into an interest-bearing account;A;For the most part, associated licenses are bound by the same laws and regulations that a broker-in-charge or property manager-in-charge is required to follow. A broker-in-charge and a property manager-in-charge may be liable to some degree for law violations committed by an associated licensee;medium;B5.sc_license_categories_ce;0.97
3266016a-b92c-432b-bbbc-09b781df6284;B5 South Carolina Real Estate;Which of the following statements about team members is true?;They may conduct real estate business from a home office;They may conduct brokerage activities in a branch office without direct supervision of a broker-in-charge;They must conduct all activities from their Commission-established office under the supervision of a broker-in-charge;They may conduct real estate business from a car/van;C;Team members must conduct all activities from their Commission-established office under the supervision of a broker-in-charge;medium;B5.broker_in_charge;0.99
65eec4de-1b10-43d2-aaf6-e0e3aa699c73;B5 South Carolina Real Estate;When dealing in a real estate transaction where the licensee owns an interest in the property, a licensee must reveal his or her license status;when the customer asks for advice;when the customer makes a purchase offer;at any time prior to the customer making a purchase offer;at the first substantive contact with a consumer;D;If a licensee owns an interest in the property, a licensee must reveal his or her license status at the first substantive contact with a consumer;medium;B5.sc_license_categories_ce;0.97
d0fe88f9-2901-4199-bfad-4f41b128019e;B5 South Carolina Real Estate;A licensee must disclose the nature of a stigmatized property;when there are rumors that the property is haunted;when a suicide occurred on the property;when a former owner had HIV;when asked directly regarding a stigma;D;A licensee must disclose the nature of a stigmatized property when asked directly regarding a stigma;medium;B5.sc_license_categories_ce;0.97
97e15268-c66b-4bcf-8d34-4fa4fd9f3b0b;B5 South Carolina Real Estate;When a client's offer is rejected by a seller without a counteroffer being made, the licensee must;inform his client within 48 hours of receipt of the rejection notice;have the seller and the buyer sign a Commission-promulgated offer rejection form which affirms presentation of the offer;sign and deliver a Commission-promulgated offer rejection form within 48 hours;have the seller sign a Commission-promulgated offer rejection form which affirms presentation of the offer;C;When a client’s offer is rejected by a seller without a counteroffer being made, the licensee must sign a Commission-promulgated offer rejection form which affirms presentation of the offer;medium;B5.sc_license_categories_ce;0.97
90137277-2ef7-467d-9ca1-1c2c70e28542;A2 Real Property;Which of the following is a limitation on homeowners association regulations?;They may not require members to carry insurance.;They may not impose a rule that is illegal.;They may not limit the number of people who can reside in a members residence.;They may not prohibit certain types of pets on the premises.;B;An HOA may not impose a rule that conflicts with the law or violates homeowner rights. Infringements of rules and regulations may be enforced by the action of a civil court.;easy;A2.hoa_rules;0.94
a9fad8d1-1088-417c-8e05-ce6b272d6837;B5 South Carolina Real Estate;Commingling can be best described as;depositing minimal funds in a trust account to cover bank charges;depositing trust funds in a licensee’s personal account;establishing a trust account at the same institution where a personal account is held;depositing escrow money in a trust account;B;"Commingling means mixing or mingling; for example, to deposit business account trust funds in the licensee’s personal or general business account";medium;B5.sc_license_categories_ce;0.97
fe0aa382-a434-432d-be4f-71bb4c59aed3;B5 South Carolina Real Estate;Conversion is defined as;depositing trust fund monies in an interest-bearing account;using trust funds for a purpose other than the purpose for which they are held;returning trust account funds when a transaction has ended;adding personal funds to a business trust account to cover shortfalls in the minimum balance;B;Conversion means using trust funds for a purpose other than the purpose for which they are held. Conversion is a breach of trust and is a crime as provided by law;medium;B5.commingling_trust_accounts;0.99
48ca68c4-15c1-4730-91da-f445f6ecea75;B5 South Carolina Real Estate;An associated licensee must deliver earnest money deposits to the supervising licensee;on the same day;the next day;no later than the following business day;within three business days;C;An associated licensee must deliver earnest money deposits to the supervising licensee no later than the following business day;medium;B5.sc_license_categories_ce;0.97
e266d491-7e9b-46c0-a75a-bb34fe298361;A2 Real Property;Public land use management takes place within ;county and municipal planning departments;state planning departments;federal guidelines;private planning;A;Public land use management takes place within county and municipal planning departments. These departments are responsible for: long-term implementation of the master plan, creating rules and restrictions that support plans and policies, enforcing and administering land use regulation on an everyday basis;easy;A2.environmental_regulations;0.97
e37d9b9f-94fb-4f2c-8c94-4d32ba67e01e;A2 Real Property;At the local level, county and city governments control land use through the authority known as ;enabling acts;law enforcement;police powers;licensing laws;C;At the local level, county and city governments control land use through the authority known as police power. The most common expressions of police power are county and municipal zoning;easy;A2.eminent_domain_police_power;0.97
6b438b09-dc0e-4be7-b0fb-342e44d01d8d;A2 Real Property;The Constitution grants the states the legal authority to regulate, and the states delegate the authority to counties and municipalities through legislation called ;enabling acts;zoning ordinances;police powers;licensing laws;A;The Constitution grants the states the legal authority to regulate, and the states delegate the authority to counties and municipalities through legislation called enabling acts;easy;A2.eminent_domain_police_power;0.97
afd93232-8d1c-413a-82eb-8d7a66e4d1f4;A2 Real Property;Residential, industrial, and commercial land uses are geographically separated in a municipality through the use of  ;eminent domain;zoning ordinances;building codes;variances and special exceptions;B;The vehicle for zoning a city or county is the zoning ordinance, a regulation enacted by the local government. The intent of zoning ordinances is to specify land usage for every parcel within the jurisdiction;easy;A2.eminent_domain_police_power;0.97
2e8c99c8-1a0b-45d7-8b6c-54ea7a11ae2d;B5 South Carolina Real Estate;Advanced rental property deposits must be treated as;operating income;trust fund monies;accounts payable;accounts receivable;B;Advanced rental property deposits must be treated as trust fund monies;medium;B5.commingling_trust_accounts;0.97
42f10037-fd45-4ac6-98b7-962e293f8578;B5 South Carolina Real Estate;The Commission can stop an unlicensed individual from practicing real estate transactions by;"issuing a ""cease and desist"" letter";issuing a writ of non-compliance;requesting a bench warrant against the violator from a law enforcement agency;applying to an administrative law judge for a temporary restraining order;D;The Commission can stop an unlicensed individual from practicing real estate transactions by applying to an administrative law judge for a temporary restraining order;medium;B5.sc_license_categories_ce;0.97
f96870df-1ace-4edb-8ae5-335d4563523a;B5 South Carolina Real Estate;How many hours of real estate training must a disciplinary investigator have?;50 hours;100 hours;150 hours;200 hours;B;A disciplinary investigator must have 100 hours of real estate training;easy;B5.general;0.45
5e44355a-3733-4676-8bd7-ed2be111a15e;B5 South Carolina Real Estate;What is the primary difference between an associate working as an employee versus an associate working as an independent contractor?;The independent contractor must receive health coverage from the brokerage while an employee does not typically receive any benefits;An employee works under the supervision and control of the broker, but the broker cannot control how the independent contractor associate performs the acts they were hired for;An employee has to obey South Carolina license laws while an independent contractor only has to be concerned with national license laws;To become an employee, the associate must have at least three years of real estate experience;B;A broker-in-charge can hire a salesperson as an employee or an independent contractor. The main difference between the two is an issue of control, as established by income tax laws. An employee works under the supervision and control of the broker. An independent contractor is hired to perform certain acts, but the broker cannot control how the salesperson performs those acts;medium;B5.broker_in_charge;0.97
2751a103-1415-49be-af74-0998ee35252f;B5 South Carolina Real Estate;Trust funds disputes can be settled through;filing an interpleader action;peer review;Commission ruling;involuntary mediation;A;Trust funds disputes can be settled through filing an interpleader action;medium;B5.general;0.45
ec49383d-4ae9-42d9-9918-736587f57adf;A2 Real Property;Subdivision requirements typically regulate  ;fair housing compliance;demographics;subdivision plat maps;dwelling density;D;Subdivision requirements typically regulate: location, grading, alignment, surfacing, street width, highways, sewers and water mains, lot and block dimensions, building and setback lines, public use dedications, utility easements, ground percolation, environmental impact report, dwelling density;easy;A2.eminent_domain_police_power;0.97
283cba51-81ad-4d9b-9188-fbf2d5c029c2;B5 South Carolina Real Estate;When can a licensee legally distribute escrow funds?;When paying for repair damage prior to closing;When recording a new deed;When the transaction closes;When the lender requests it;C;A licensee can legally distribute escrow funds when the transaction closes;medium;B5.sc_license_categories_ce;0.97
5900ea5e-80cf-4f15-820f-f446ff732c60;B5 South Carolina Real Estate;When dealing with a lease, how long must trust fund monies remain in a trust account?;Until the lease expires or is terminated ;Six months;Until the lessor requests release;Twelve months;A;Trust fund monies must remain in a trust account until the lease expires or is terminated;medium;B5.commingling_trust_accounts;0.97
bb7838ae-4ac3-4c98-9d89-205c61c6ea05;B5 South Carolina Real Estate;South Carolina requires a trust account to be located in;a State-chartered financial institution;an insured financial institution authorized to conduct business in South Carolina;a Federally-chartered financial institution;any insured financial institution, regardless of the state in which is it physically located;B;South Carolina requires a trust account to be located in an insured financial institution authorized to conduct business in South Carolina;medium;B5.commingling_trust_accounts;0.97
1d2711c0-7865-48f3-be15-14f352234966;B5 South Carolina Real Estate;If a brokerage changes its office name, the broker must inform the Commission of the change;within five days;within one week;within ten days;within two weeks;C;If a brokerage changes its office name, the broker must inform the Commission of the change within ten days;medium;B5.broker_in_charge;0.97
f1bc9aa3-5dea-4831-9ae7-981780aae219;B5 South Carolina Real Estate;A broker may have how many branch offices?;Unlimited;1;2;3;A;There is no limit to how many branch offices a broker may have;easy;B5.broker_in_charge;0.98
abf82869-d79c-4600-b28c-b45c01a56de6;B5 South Carolina Real Estate;A real estate team is best defined as;two or more supervised licensees working together, but located in different branch offices;two or more supervised licensees working together as a single unit within a real estate office and supervised by a broker-in-charge;three or more supervised licensees working together as a single unit within a real estate office;five or more supervised licensees working in a single office under the supervision of a broker-in-charge;B;A real estate team is two or more associated licensees working together as a single unit within a real estate office and supervised by a broker-in-charge;medium;B5.broker_in_charge;0.99
0a9258fe-2622-49a9-ba62-42712d38c239;B5 South Carolina Real Estate;A resident licensee can pay a part of the commission on a cooperative basis to a person of another state;if that person does not hold a valid real estate license;as long as that person is not licensed in South Carolina;under no circumstance;if that brokerage licensee does not conduct a real estate brokerage service in South Carolina for which compensation is paid;D;A resident licensee can pay a part of the commission on a cooperative basis to a person of another state if that brokerage license does not conduct a real estate brokerage service in South Carolina for which compensation is paid;medium;B5.sc_license_categories_ce;0.98
af147337-1a11-4df2-955a-0caf28194ae5;A2 Real Property;A colorless, odorless, radioactive gas that occurs naturally in the soil throughout the United States is known as ;radon;carbon monoxide;asbestos;formaldehyde;A;Radon is a colorless, odorless, radioactive gas that occurs naturally in the soil throughout the United States;easy;A2.environmental_regulations;0.98
15879877-e78b-419a-9f4c-6bf3789505a4;B5 South Carolina Real Estate;Jane wants to purchase real estate listed with the brokerage firm she works for. What must she do?;Jane must complete a form specifically designed for this type of situation and keep the form in the transaction file;Jane must make her status as a licensee clearly known in writing to all parties involved;Jane must inform all parties of her license status at the time of closing;Jane has no specific requirement in this situation;B;If a licensee wishes to purchase real estate listed with the affiliated brokerage firm, the broker-in-charge must ensure that the licensee first makes the status as a licensee clearly known in writing to all parties involved;medium;B5.sc_license_categories_ce;0.97
45c4dddb-dd6c-4e56-ac1b-e76786bf8e4e;B5 South Carolina Real Estate;If there will be no compensation to other agents, the property;cannot be listed in the multiple listing service;can be listed in the multiple listing service;can be listed as a For Sale By Owner;cannot be listed by a licensee;A;If there will be no compensation to other agents, the property cannot be listed in the multiple listing service.  This most commonly applies to for-sale-by-owner (FSBO’s);medium;B5.sc_license_categories_ce;0.97
87c8d7c7-f48a-4829-b23c-82ef363369bb;B5 South Carolina Real Estate;In what section of a listing contact would you find the agreed upon compensation the broker will receive?;Consent to disclosed dual agency;Terms;Compensation to other agents;Multiple listing service;B;You can find the agreed upon compensation in the “Terms” section of the listing contract;medium;B5.sc_listing_contract;0.95
a0084ca4-43d2-4696-aa51-579903a2cef9;B5 South Carolina Real Estate;The mediation clause;survives the closing;terminates at the closing;extinguishes any mechanic’s lien filing;includes any unlawful detainer actions;A;The mediation clause survives the closing;medium;B5.general;0.45
292c5af5-4e7c-4034-bcdd-334a0242bd02;B5 South Carolina Real Estate;The mediation clause;ends on the closing day of the transaction;survives for 60 days after the closing date;survives for 90 days after the closing date;survives for 120 days after the closing date;D;The mediation clause survives for 120 days after the closing date;medium;B5.general;0.45
955febc8-75a8-4c16-938e-8f9900d2c864;A2 Real Property;Under CERCLA and the Superfund Amendment of 1986, current landowners as well as previous owners of a property;are not liable for environmental violations;may be held liable for environmental violations, even if innocent of a violation;may be held liable for environmental violations only if found guilty of a violation;can avoid liability by relying on the expert knowledge of a real estate license;B;Under CERCLA and the Superfund Amendment of 1986, current landowners as well as previous owners of a property may be held liable for environmental violations, even if innocent of a violation. Sellers often carry the greatest exposure, and real estate licensees may be held liable for improper disclosure;medium;A2.environmental_regulations;0.99
df46d30c-c3b4-4447-bed0-b756d2e74e56;A2 Real Property;Selling a property with an environmental problem ;does not avoid liability for the seller;shifts the liability to the buyer;releases the sellers agent of any liability;releases the seller of any liability, providing that the property was sold as-is;A;Selling a property with an environmental problem does not avoid liability for the seller, although seller and buyer may agree to share or transfer some liability;medium;A2.environmental_regulations;0.97
7eed8914-10e8-4d9f-b0ab-e626f77d137d;A2 Real Property;"Which environmental audit is described as reviews environmental documents; conducts a title search for environmental liens and restrictions; and includes a visual inspection of the site and surrounding properties?";Phase I ESA;Phase II audit (ESA);Phase III audit (ESA);EPA inspection ;A;"The Phase I ESA reviews environmental documents; conducts a title search for environmental liens and restrictions; and includes a visual inspection of the site and surrounding properties";medium;A2.title_insurance;0.97
82fb7bba-fec5-4303-898f-41967ca90f30;A2 Real Property;Which environmental audit is described as a more detailed investigation using chemical analysis to uncover hazardous substances and/or petroleum hydrocarbons in samples of soil, groundwater or building materials?;Phase I ESA;Phase II audit (ESA);Phase III audit (ESA);EPA inspection ;B;A Phase II audit (ESA) is conducted if a site is considered contaminated. This is a more detailed investigation using chemical analysis to uncover hazardous substances and/or petroleum hydrocarbons in samples of soil, groundwater or building materials;easy;A2.environmental_regulations;0.99
1e8363bc-0332-4bc7-a2e9-eae7404377c0;A2 Real Property;With todays construction methods creating airtight, energy-efficient structures, attention to sources of indoor air pollution is more important than ever. Off-gassing from synthetic materials and lack of ventilation can lead to such consequences as ;Radon cantamination;Mold contamination;Volatile Organic Compounds (VOCs);Sick Building Syndrome (SBS);D;Air quality, both indoor and outdoor, has been a matter of concern since the 1960's. With todays construction methods creating airtight, energy-efficient structures, attention to sources of indoor air pollution is more important than ever. Off-gassing from synthetic materials and lack of ventilation can lead to such consequences as Sick Building Syndrome and Building-Related Illness as well as other health problems;medium;A2.environmental_regulations;0.98
e14d5243-7d90-4eee-a56d-24cbc04eb0ca;A2 Real Property;To acquire a property by eminent domain, a municipality will undertake which of the following? ;Initiate an injunction;Initiate a condemnation suit;Obtain an estoppel order;Initiate eviction proceedings;B;To acquire a property via eminent domain, the public entity must initiate a condemnation suit to terminate the current use;medium;A2.eminent_domain_police_power;0.98
7beebd66-d061-4532-ad93-9542191c307e;B5 South Carolina Real Estate;In what section of the listing contract would you find the agreement to accept electronic signatures?;Fair Housing;Enforcement;Facsimile;Signature Block;C;You will find the discussion regarding electronic signatures in the “Facsimile” section of the listing contract.  Nearly all real estate transactions allow e-signatures now;medium;B5.federal_fair_housing_protected_classes;0.97
ff18eca9-b603-4f1f-be07-85e79e1f7ef8;B5 South Carolina Real Estate;What agreement clause requires a buyer to tell a broker about signing an agency agreement with another broker?;Source of Broker;Indemnification of Broker;Broker Notice;Broker Liability;B;The Indemnification of Broker clause requires a buyer to tell a broker about signing an agency agreement with another broker;medium;B5.sc_property_disclosure;0.97
0278c0e4-8f5c-43b5-b3fa-48ee6ab2af34;B5 South Carolina Real Estate;South Carolina does not permit;transaction brokerage;undisclosed dual agency;single agency;designated agency;B;South Carolina does not permit undisclosed dual agency;medium;B5.general;0.45
af369deb-e894-41af-90f3-dabdd93bf0b0;B5 South Carolina Real Estate;South Carolina license law requires licensees to present consumers with the Commission-approved;South Carolina Broker Agency Listing Agreement;South Carolina Agency Listing Options;South Carolina Disclosure of Real Estate Transactions;South Carolina Disclosure of Real Estate Brokerage Relationships form;D;South Carolina license law requires licensees to explain to real estate consumers the information regarding brokerage relationships at the licensee’s firm. Licensees must present consumers with the Commission-approved South Carolina Disclosure of Real Estate Brokerage Relationships form;medium;B5.sc_property_disclosure;0.97
d90f6770-60cf-4f35-8e1a-f458e824a452;B5 South Carolina Real Estate;What action must occur if a licensee has two competing buyer clients in a single real estate transaction?;The broker-in-charge must assign a designated agent;The broker-in-charge must assign a dual agent;The licensee must give written notice to each client that neither will receive confidential information of the other;The licensee must select one client, and the other client reverts back to customer status;C;If a licensee has two competing buyer clients in a single real estate transaction, the licensee must give written notice to each client that neither will receive confidential information of the other;medium;B5.sc_license_categories_ce;0.97
0d4955e5-0026-41df-8d6a-e4c3859760c6;B5 South Carolina Real Estate;Informed consent in dual agency is accomplished by;each party signing a completed copy of the dual agency agreement required by the Commission;each party making an oral statement accepting dual agency;the licensee completing Form 56-A, Informed Consent;at least one party signing a completed copy of the dual agency agreement required by the Commission;A;Informed consent in dual agency is accomplished by each party signing a completed copy of the dual agency agreement required by the Commission;medium;B5.sc_license_categories_ce;0.97
e86d68f5-ed36-43cf-971b-bed567d90634;B5 South Carolina Real Estate;In a transaction where both buyer and seller are represented by designated agents, the broker-in-charge will act as a;dual agent;designated broker;special agent;transaction broker;A;In a transaction where both buyer and seller are represented by designated agents, the broker-in-charge will act as a dual agent;medium;B5.general;0.45
123469f1-a5c5-48e9-b8a1-a035be9a0dbd;B5 South Carolina Real Estate;Which of the following statements about transaction brokerage is most accurate?;A transaction brokerage must represent at least one party in a transaction;A transaction brokerage may facilitate a transaction without representing either party;A transaction brokerage cannot collect compensation from both parties in a transaction;A transaction brokerage is not required to disclose customer service duties to a consumer;B;A transaction brokerage may facilitate a transaction without representing either party;medium;B5.general;0.45
85194a1c-7e80-4840-96d0-f067b3eaf47a;B5 South Carolina Real Estate;In what section of a listing contract does the owner agree to comply with South Carolina's withholding tax requirements for nonresident owners?;Disclosure;Foreign Investments;Taxes;Prepaid Fees;C;In the “Taxes” section of the listing contract, the owner agrees to comply with South Carolina’s withholding tax requirements for nonresident owners;medium;B5.sc_license_categories_ce;0.98
8eb9f289-f01c-4757-812c-a63721a1b19c;B5 South Carolina Real Estate;A property cannot be listed with a multiple listing service if;a licensee owns it;there will be no compensation to other agents;the listing agent is a nonresident licensee;the commission offered is less than 2% of the sale price;B;A property cannot be listed with a multiple listing service if there will be no compensation to other agents;medium;B5.sc_license_categories_ce;0.99
ab228839-cccb-44b6-8899-7592dd3f835b;B5 South Carolina Real Estate;The mediation clause in a listing contract survives for;30 days after the closing date;60 days after the closing date;90 days after the closing date;120 days after the closing date;D;The mediation clause in a listing contract survives for 120 days after the closing date;medium;B5.sc_listing_contract;0.95
f566355a-22e4-40f6-8004-538922310dc1;B5 South Carolina Real Estate;What agreement clause in a buyer representation contract states that if buyer fails to tell broker about another broker’s involvement, the buyer may be liable to pay broker for any losses or damages resulting from a claim brought against him?;Source of Broker;Broker Notice;Broker Liability;Indemnification of Broker;D;The Indemnification of Broker clause in a buyer representation contract states that a buyer must tell broker about signing an agency agreement with another broker, or being given information by another broker about a property that is the subject of a contract. If buyer fails to tell broker about another broker’s involvement, buyer may be liable to pay broker for any losses or damages resulting from a claim brought against him;medium;B5.sc_property_disclosure;0.97
87c2349f-f82d-4ad0-bf67-dc5f4ff29c2b;B5 South Carolina Real Estate;South Carolina does not allow the practice of;seller agency;transaction brokerage;buyer agency;undisclosed dual agency;D;South Carolina does not allow the practice of undisclosed dual agency. A real estate brokerage firm may act as a disclosed dual agent only with the prior informed and written consent of all parties. Informed consent is accomplished by each party signing a completed copy of the dual agency agreement required by the Commission;medium;B5.general;0.45
